sample,location,node,x,y,dx,dy
0,7.063182652986693,16,2.399999999995657,0.0,0.0054694503739351,-0.0332901852915135
0,7.063182652986693,29,4.999999999992403,0.0,0.0143081640487934,-0.0462174367544854
0,7.063182652986693,41,7.39999999999605,0.0,0.0226121669358621,-0.0353284535373401
1,4.787018066536935,16,2.399999999995657,0.0,0.0054609957697716,-0.033345949854349
1,4.787018066536935,29,4.999999999992403,0.0,0.014370348268984,-0.0463094203630699
1,4.787018066536935,41,7.39999999999605,0.0,0.0226681654817615,-0.0353501822743754
2,7.505400127223681,16,2.399999999995657,0.0,0.0054633033565618,-0.0332594194011622
2,7.505400127223681,29,4.999999999992403,0.0,0.0142841749710021,-0.0461869873363848
2,7.505400127223681,41,7.39999999999605,0.0,0.0226162525108938,-0.03535051869438
3,8.788827302358785,16,2.399999999995657,0.0,0.0054384362628722,-0.0332529242350204
3,8.788827302358785,29,4.999999999992403,0.0,0.0142880314562614,-0.0461638541964095
3,8.788827302358785,41,7.39999999999605,0.0,0.0225540247933016,-0.0353241210102448
4,2.8216153825209247,16,2.399999999995657,0.0,0.005487705195307,-0.033354239635383
4,2.8216153825209247,29,4.999999999992403,0.0,0.0143537574745461,-0.046228598183676
4,2.8216153825209247,41,7.39999999999605,0.0,0.0226650588581535,-0.0352604937946661
5,8.219449535954576,16,2.399999999995657,0.0,0.0054642056977507,-0.0332610699553852
5,8.219449535954576,29,4.999999999992403,0.0,0.014304472705345,-0.0461627798802239
5,8.219449535954576,41,7.39999999999605,0.0,0.0225993724455125,-0.0353312991847508
6,8.628174924614825,16,2.399999999995657,0.0,0.0054630567764638,-0.033260927769973
6,8.628174924614825,29,4.999999999992403,0.0,0.0142886335527795,-0.0461567214546785
6,8.628174924614825,41,7.39999999999605,0.0,0.0225725223277394,-0.0353050943529559
7,3.836641422416356,16,2.399999999995657,0.0,0.0054696261843795,-0.0333617090127516
7,3.836641422416356,29,4.999999999992403,0.0,0.0143964735660513,-0.0462835331184826
7,3.836641422416356,41,7.39999999999605,0.0,0.0226676994663002,-0.0353003168441053
8,3.0116568081654864,16,2.399999999995657,0.0,0.0054698617261813,-0.0333464036705662
8,3.0116568081654864,29,4.999999999992403,0.0,0.0143846787297913,-0.0462537257308685
8,3.0116568081654864,41,7.39999999999605,0.0,0.02264200473233,-0.0352843848864175
9,6.029027191706699,16,2.399999999995657,0.0,0.0054572370826519,-0.0333057328279794
9,6.029027191706699,29,4.999999999992403,0.0,0.014314903377207,-0.0462792335444289
9,6.029027191706699,41,7.39999999999605,0.0,0.022648317018698,-0.0353470792392833
10,3.7930820957936455,16,2.399999999995657,0.0,0.0054611589635296,-0.033364927368688
10,3.7930820957936455,29,4.999999999992403,0.0,0.0143782770645285,-0.0462781652652907
10,3.7930820957936455,41,7.39999999999605,0.0,0.0226582823251338,-0.0353099824382673
11,8.872801172906515,16,2.399999999995657,0.0,0.0054571641940328,-0.0332439440182357
11,8.872801172906515,29,4.999999999992403,0.0,0.0142902926299866,-0.0461389174176257
11,8.872801172906515,41,7.39999999999605,0.0,0.0225664964971113,-0.0353191950544436
12,3.1159096604208805,16,2.399999999995657,0.0,0.0054722668898235,-0.0333535295386589
12,3.1159096604208805,29,4.999999999992403,0.0,0.0143854272458178,-0.0462209891319781
12,3.1159096604208805,41,7.39999999999605,0.0,0.0226639863697894,-0.035297844402978
13,7.176559414730171,16,2.399999999995657,0.0,0.0054697744305319,-0.0332825524117758
